Handle,Title,Variant SKU,Tags Command,Tags,Metafield: custom.mb_cap [integer],Metafield: custom.mb_used [integer]
iced-bubble-tennis-bracelet,Iced Bubble Tennis Bracelet,B/CZ-BUB-TEN-CLR-SLVR,MERGE,mystery-box-tier-2,9999,0
cz-good-luck-cornuto-necklace,Cz Good Luck Cornuto Necklace,"N/CZ-CORNUTO-BBY-BALL-BD-16""-KT-GLD",MERGE,mystery-box-tier-2,9999,0
cz-good-luck-cornuto-necklace,Cz Good Luck Cornuto Necklace,"N/CZ-CORNUTO-BBY-BALL-BD-18""-KT-GLD",MERGE,mystery-box-tier-2,9999,0
good-luck-cornuto-necklace,Good Luck Cornuto Necklace,"N/CORNUTO-BBY-BALL-BD-16""-GLD",MERGE,mystery-box-tier-2,9999,0
good-luck-cornuto-necklace,Good Luck Cornuto Necklace,"N/CORNUTO-BBY-BALL-BD-18""-GLD",MERGE,mystery-box-tier-2,9999,0
knock-knock-drop-earring,Knock Knock Drop Earring,E/KNK-KNK-DRP-GLD,MERGE,mystery-box-tier-2,9999,0
knock-knock-drop-earring,Knock Knock Drop Earring,E/KNK-KNK-DRP-SLVR,MERGE,mystery-box-tier-2,9999,0
cross-pendant-necklace,Cross Pendant Necklace,N/OVAL-CRS-PEND-GLD,MERGE,mystery-box-tier-2,50,0
cross-pendant-necklace,Cross Pendant Necklace,N/OVAL-CRS-PEND-S,MERGE,mystery-box-tier-2,50,0
vivian-necklace,Vivian Necklace,"N/VIV-16""-GLD",MERGE,mystery-box-tier-2,9999,0
vivian-necklace,Vivian Necklace,"N/VIV-18""-GLD",MERGE,mystery-box-tier-2,9999,0
vivian-necklace,Vivian Necklace,"N/VIV-16""-SLVR",MERGE,mystery-box-tier-2,9999,0
vivian-necklace,Vivian Necklace,"N/VIV-18""-SLVR",MERGE,mystery-box-tier-2,9999,0
cz-sideways-cross-necklace,CZ Sideways Cross Necklace,N/CZ-SDW-CRS-GLD,MERGE,mystery-box-tier-2,9999,0
cz-sideways-cross-necklace,CZ Sideways Cross Necklace,N/CZ-SDW-CRS-S,MERGE,mystery-box-tier-2,9999,0
lulu-earrings,Lulu Earrings,E/LULU-GLD,MERGE,mystery-box-tier-2,9999,0
lulu-earrings,Lulu Earrings,E/LULU-SLVR,MERGE,mystery-box-tier-2,9999,0
medium-chunky-hoop-earring,Medium Chunky Hoop Earring,E/MED-HP-5.6X30-GLD,MERGE,mystery-box-tier-2,60,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-B-2TNE-6,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-C-2TNE-6,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-E-2TNE-6,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-G-2TNE-6,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-J-2TNE-6,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-L-2TNE-6,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-M-2TNE-6,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-R-2TNE-6,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-B-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-C-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-D-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-H-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-G-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-I-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-L-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-O-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-Q-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-R-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-T-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-V-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-Y-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-Z-2TNE-7,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-D-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-F-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-G-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-I-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-O-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-P-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-Q-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-R-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-T-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-U-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-V-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-W-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-X-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-Y-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-Z-2TNE-8,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-B-2TNE-9,MERGE,mystery-box-tier-2,9999,0
iced-jumbo-letter-ring,Iced Jumbo Letter Ring,R/JMBO-LTR-B-2TNE-10,MERGE,mystery-box-tier-2,9999,0
marquise-drop-earring,Marquise Drop Earring,E/TONI-6MM-G,MERGE,mystery-box-tier-2,35,0
marquise-drop-earring,Marquise Drop Earring,E/OMA-8MM-G,MERGE,mystery-box-tier-2,35,0
cinco-pinky-ring,Cinco Pinky Ring,R/CINCO-PNKY-3-TT,MERGE,mystery-box-tier-2,9999,0
cinco-pinky-ring,Cinco Pinky Ring,R/CINCO-PNKY-4-TT,MERGE,mystery-box-tier-2,9999,0
cinco-pinky-ring,Cinco Pinky Ring,R/CINCO-PNKY-5-TT,MERGE,mystery-box-tier-2,9999,0
cinco-pinky-ring,Cinco Pinky Ring,R/CINCO-PNKY-6-TT,MERGE,mystery-box-tier-2,9999,0
cz-classic-huggie-hoop-earring,Cz Classic Huggie Hoop Earring,E/CZ-CL-HUG-HP-GLD,MERGE,mystery-box-tier-2,60,0
cz-classic-huggie-hoop-earring,Cz Classic Huggie Hoop Earring,E/CZ-CL-HUG-HP-SLVR,MERGE,mystery-box-tier-2,40,0
small-chunky-hoop-earring,Small Chunky Hoop Earring,E/SML-HP-5.6X25-GLD,MERGE,mystery-box-tier-2,50,0
sorority-necklace,Sorority Necklace,N/SRTY-1-AChiO-GLD,MERGE,mystery-box-tier-2,9999,0
sorority-necklace,Sorority Necklace,N/SRTY-2-ADeltaP-GLD,MERGE,mystery-box-tier-2,9999,0
sorority-necklace,Sorority Necklace,N/SRTY-3-AOmicronP-GLD,MERGE,mystery-box-tier-2,9999,0
sorority-necklace,Sorority Necklace,N/SRTY-4-APhi-GLD,MERGE,mystery-box-tier-2,9999,0
sorority-necklace,Sorority Necklace,N/SRTY-5-COmega-GLD,MERGE,mystery-box-tier-2,9999,0
sorority-necklace,Sorority Necklace,N/SRTY-6-DDeltaD-GLD,MERGE,mystery-box-tier-2,9999,0
sorority-necklace,Sorority Necklace,N/SRTY-7-DGamma-GLD,MERGE,mystery-box-tier-2,9999,0
sorority-necklace,Sorority Necklace,N/SRTY-8-DZeta-GLD,MERGE,mystery-box-tier-2,9999,0
sorority-necklace,Sorority Necklace,N/SRTY-9-KDelta-GLD,MERGE,mystery-box-tier-2,9999,0
sorority-necklace,Sorority Necklace,N/SRTY-10-PBetaP-GLD,MERGE,mystery-box-tier-2,9999,0
