Handle,Title,Variant SKU,Tags Command,Tags,Metafield: custom.mb_cap [integer],Metafield: custom.mb_used [integer]
hopscotch-drop-earring,Hopscotch Drop Earring,E/HOP-SCTH-DRP-GLD,MERGE,mystery-box-tier-3,9999,0
hopscotch-drop-earring,Hopscotch Drop Earring,E/HOP-SCTH-DRP-SLVR,MERGE,mystery-box-tier-3,9999,0
chai-pendant-necklace,Chai Pendant Necklace,N/CHAI-PEND-GLD,MERGE,mystery-box-tier-3,9999,0
baby-cross-earring,Baby Cross Earring,E/BBY-CRS-GLD,MERGE,mystery-box-tier-3,9999,0
chunky-teardrop-earring,Chunky Teardrop Earring,E/CHNKY-TR-DRP-GLD,MERGE,mystery-box-tier-3,9999,0
chunky-teardrop-earring,Chunky Teardrop Earring,E/CHNKY-TR-DRP-SLVR,MERGE,mystery-box-tier-3,9999,0
lovers-knot-ring,Lovers Knot Ring,R/LOVERS-KNT-GLD-8,MERGE,mystery-box-tier-3,9999,0
lovers-knot-ring,Lovers Knot Ring,R/LOVERS-KNT-GLD-9,MERGE,mystery-box-tier-3,9999,0
evil-eye-ring,Evil Eye Ring,R/CZ-EVL-EYE-2-GLD,MERGE,mystery-box-tier-3,9999,0
evil-eye-ring,Evil Eye Ring,R/CZ-EVL-EYE-3-GLD,MERGE,mystery-box-tier-3,9999,0
evil-eye-ring,Evil Eye Ring,R/CZ-EVL-EYE-4-GLD,MERGE,mystery-box-tier-3,9999,0
evil-eye-ring,Evil Eye Ring,R/CZ-EVL-EYE-5-GLD,MERGE,mystery-box-tier-3,9999,0
evil-eye-ring,Evil Eye Ring,R/CZ-EVL-EYE-6-GLD,MERGE,mystery-box-tier-3,9999,0
smiley-ring,Smiley Ring,R/SMILEY-2-GLD,MERGE,mystery-box-tier-3,9999,0
smiley-ring,Smiley Ring,R/SMILEY-3-GLD,MERGE,mystery-box-tier-3,9999,0
smiley-ring,Smiley Ring,R/SMILEY-4-GLD,MERGE,mystery-box-tier-3,9999,0
smiley-ring,Smiley Ring,R/SMILEY-5-GLD,MERGE,mystery-box-tier-3,9999,0
smiley-ring,Smiley Ring,R/SMILEY-6-GLD,MERGE,mystery-box-tier-3,9999,0
piper-pink-cz-cuff-earring,Piper Pink CZ Cuff Earring,E/PNK-CUFF-SGL-G,MERGE,mystery-box-tier-3,40,0
cz-pave-cuff-earring,Cz Pave Cuff Earring,E/CZ-CUFF-SGL-GLD,MERGE,mystery-box-tier-3,40,0
royal-cross-ring,Royal Cross Ring,R/RYL-CRS-GLD-8,MERGE,mystery-box-tier-3,9999,0
royal-cross-ring,Royal Cross Ring,R/RYL-CRS-GLD-9,MERGE,mystery-box-tier-3,9999,0
royal-cross-ring,Royal Cross Ring,R/RYL-CRS-GLD-10,MERGE,mystery-box-tier-3,9999,0
cz-bezel-cuff-earring,Cz Bezel Cuff Earring,E/BZL-CUFF-SGL-G,MERGE,mystery-box-tier-3,40,0
cz-bianca-band,Cz Bianca Band,R/BIANCA-BND-GLD-7,MERGE,mystery-box-tier-3,9999,0
cz-bianca-band,Cz Bianca Band,R/BIANCA-BND-GLD-8,MERGE,mystery-box-tier-3,9999,0
cz-bianca-band,Cz Bianca Band,R/BIANCA-BND-GLD-9,MERGE,mystery-box-tier-3,9999,0
cz-bianca-band,Cz Bianca Band,R/BIANCA-BND-SLVR-7,MERGE,mystery-box-tier-3,9999,0
cz-bianca-band,Cz Bianca Band,R/BIANCA-BND-SLVR-8,MERGE,mystery-box-tier-3,9999,0
cz-bianca-band,Cz Bianca Band,R/BIANCA-BND-SLVR-9,MERGE,mystery-box-tier-3,9999,0
classic-cuff-earring-single,Classic Cuff Earring - Single,E/CL-CUFF-SGL-G,MERGE,mystery-box-tier-3,40,0
classic-travel-jewelry-case,Classic Travel Jewelry Case,JB/CL-TR-CSE-PNK,MERGE,mystery-box-tier-3,100,0
f-off-trucker-hat,F Off Trucker Hat,G/F-OFF-HAT-DEM,MERGE,mystery-box-tier-3,50,0
oval-jewelry-case,Oval Jewelry Case,JB/OVAL-CSE-PNK,MERGE,mystery-box-tier-3,100,0
ep-teddy-trucker-hat,Ep Teddy Trucker Hat,G/EP-TED-H-PNK-TRCE,MERGE,mystery-box-tier-3,50,0
ep-teddy-trucker-hat,Ep Teddy Trucker Hat,G/EP-TED-H-BR-BLKT,MERGE,mystery-box-tier-3,30,0
iced-bubble-ring,Iced Bubble Ring,R/CZ-BUB-GRN-6-GLD,MERGE,mystery-box-tier-3,9999,0
iced-bubble-ring,Iced Bubble Ring,R/CZ-BUB-BLU-6-GLD,MERGE,mystery-box-tier-3,9999,0
iced-bubble-ring,Iced Bubble Ring,R/CZ-BUB-BLU-7-GLD,MERGE,mystery-box-tier-3,9999,0
iced-bubble-ring,Iced Bubble Ring,R/CZ-BUB-BLU-8-GLD,MERGE,mystery-box-tier-3,9999,0
iced-bubble-ring,Iced Bubble Ring,R/CZ-BUB-BLU-9-GLD,MERGE,mystery-box-tier-3,9999,0
classic-twist-band,Classic Twist Band,R/CLSC-TWST-5-GLD,MERGE,mystery-box-tier-3,9999,0
classic-twist-band,Classic Twist Band,R/CLSC-TWST-6-GLD,MERGE,mystery-box-tier-3,9999,0
classic-twist-band,Classic Twist Band,R/CLSC-TWST-7-GLD,MERGE,mystery-box-tier-3,9999,0
classic-twist-band,Classic Twist Band,R/CLSC-TWST-8-GLD,MERGE,mystery-box-tier-3,9999,0
classic-twist-band,Classic Twist Band,R/CLSC-TWST-9-GLD,MERGE,mystery-box-tier-3,9999,0
classic-band,Classic Band,R/CLSC-BND-6-SLVR,MERGE,mystery-box-tier-3,9999,0
classic-band,Classic Band,R/CLSC-BND-7-SLVR,MERGE,mystery-box-tier-3,9999,0
classic-band,Classic Band,R/CLSC-BND-8-SLVR,MERGE,mystery-box-tier-3,9999,0
classic-band,Classic Band,R/CLSC-BND-9-SLVR,MERGE,mystery-box-tier-3,9999,0
baby-jewelry-case,Baby Jewelry Case,JB/BBY-CSE-PNK,MERGE,mystery-box-tier-3,100,0
